28603 0 626178	Visualizing web site comparisons.
37183 3 12282	spheresearch
7239 1 102515	Luis von Ahn
21672 0 360164	The Relevance of Irrelevance.
16694 0 86737	Pseudo-anchor text extraction for searching vertical objects.
32546 3 4361	abtweak
13999 1 422764	Thomas Beavin
9006 1 139623	Kevin Mai
6353 1 76920	Christopher O. Jaynes
15773 0 11763	Enabling Intelligent Content Discovery on the Mobile Internet.
15137 0 9884	Algorithm Synthesis through Problem Reformulation.
23420 0 500648	Ranking Interesting Subspaces for Clustering High Dimensional Data.
31303 3 2717	incomplete
32388 3 4138	polynomially
27399 0 595924	Physical Data Independence, Constraints, and Optimization with Universal Plans
30791 3 2124	cui
7846 1 114010	Ning-Han Liu
2503 1 18240	Yutaka Matsuo
3322 1 20086	Timothy William Cleaver
11114 1 260583	Albert Vernon
5898 1 59518	Jun Yao
28357 0 597601	Checking for k-Anonymity Violation by Views.
18483 0 276600	Security of Statistical Databases - Compromise through Attribute Correlational Modeling.
36757 3 11567	prima
10327 1 181261	David M. Mimno
7178 1 99224	Nitin Kumar
7401 1 109565	John B. Smith
20918 0 358170	Adaptive Support Vector Machine for Time-Varying Data Streams Using Martingale.
20545 0 357235	Identification Constraints and Functional Dependencies in Description Logics.
16712 0 86770	Search result summarization and disambiguation via contextual dimensions.
37484 3 12929	aligning
35103 3 8751	hypertree
17923 0 275429	FAST: A New Sampling-Based Algorithm for Discovering Association Rules.
14429 1 453451	Aude Pichelin
36910 3 11840	kweelt
16074 0 85605	Securing XML data in third-party distribution systems.
17864 0 275331	FLYINGDOC: An Architecture for Distributed, User-friendly, and Personalized Information Systems.
584 1 10753	Miho Ohsaki
30554 3 1830	efficiency
20026 0 309137	Sequential update of ADtrees.
23083 0 486921	Active Feature Selection Using Classes.
21070 0 358615	Perturbation: A Means for Guiding Generalization.
14440 1 453577	Mark Scarr
16027 0 12251	Hyperequivalence of Logic Programs with Respect to Supported Models.
6968 1 90413	Michele Melchiori
12566 1 361932	Haruaki Yamazaki
23888 0 504298	Deciding Equivalences Among Aggregate Queries.
32490 3 4280	infusion
16250 0 85949	Error Propagation in Distributed Databases.
9921 1 171330	Furu Wei
29583 3 766	reusing
1200 1 15641	Cheryl E. Martin
17295 0 158883	Collaborative Learning of Term-Based Concepts for Automatic Query Expansion.
23040 0 486795	CCMine: Efficient Mining of Confidence-Closed Correlated Patterns.
36761 3 11572	vldb
7420 1 110329	Mimi Zhang
23395 0 500592	Rank Measures for Ordering.
13625 1 421575	Allison P. Heath
15071 0 9672	The Denotational Semantics of Horn Clauses as a Production System.
15859 0 11942	Knowledge Compilation Properties of Tree-of-BDDs.
25772 0 554263	Semantic Assumptions and Query Evaluation in Temporal Databases.
34413 3 7460	tp
14481 0 7621	Plan Abstraction Based on Operator Generalization.
5548 1 50542	Jun Tani
27480 0 596064	The Idea of De-Clustering and its Applications.
22483 0 436639	A framework for ontology-driven subspace clustering.
32863 3 4811	bidding
22341 0 436356	Quantifying trends accurately despite classifier error and class imbalance.
30267 3 1498	prioritized
20243 0 309745	Transductive support vector machines for structured variables.
31311 3 2729	biodiff
35975 3 10314	lb
18433 0 276470	Extracting Objects from the Web.
11480 1 261417	Redmond P. Burke
23951 0 504411	Operator placement for in-network stream query processing.
9363 1 152919	Mybrid Spalding
35204 3 8959	violation
3321 1 20085	Brahim Chaib-draa
30175 3 1399	price
33740 3 6403	these
18935 0 277503	The Multi-Relational Skyline Operator.
29892 3 1095	judicial
32232 3 3919	banks
26601 0 555808	Improving Semantic Specification in a Relational Database.
12507 1 330391	David Verbel
37496 3 12976	visitor
15115 0 9831	TPBOSCourier: A Transportation Procurement System (for the Procurement of Courier Services).
8788 1 131734	Roded Sharan
17087 0 156877	Evaluating Web Search Result Summaries.
32057 3 3673	deployment
441 1 8741	Chin-Chen Chang
34635 3 7844	oltp
32843 3 4785	magic
37704 3 13424	regularly
5063 1 39372	Daniel Olmedilla
28552 0 625814	The SOWES approach to P2P web search using semantic overlays.
30336 3 1575	monotonic
35480 3 9425	promotion
35805 3 9973	enriching
19847 0 308587	General Loss Bounds for Universal Sequence Prediction.
26983 0 556438	An efficient filter for approximate membership checking.
36903 3 11829	derivability
14035 1 422814	Yuri Kosharovsky
28877 3 7	some
27541 0 596150	The Private Workspace Model Feasibility and Applications to 2PL Performance Improvements.
2514 1 18256	Robert C. Kahlert
12492 1 327665	Robert Hall
3418 1 20277	Richard Tzong-Han Tsai
21507 0 359746	Automated Qualitative Domain Abstraction.
36893 3 11805	colt
26010 0 554665	PADS: an end-to-end system for processing ad hoc data.
14533 0 7814	Representation of Task-Specific Knowledge in a Gracefully Interacting User Interface.
25529 0 552545	Selecting good expansion terms for pseudo-relevance feedback.
4806 1 35555	Michael G. Christel
7163 1 98477	Akira Kawaguchi
10272 1 177154	Jianhua Lv
6053 1 65506	Jingfang Xu
29773 3 969	liberal
27298 0 595754	On-the-Fly, Incremental, Consistent Reading of Entire Databases.
27724 0 596465	Hilbert R-tree: An Improved R-tree using Fractals.
13876 1 422519	Ashok Josji
35313 3 9159	instace
13442 1 421318	M. E. Maron
9354 1 152658	Sylvia L. Osborn
17115 0 156950	Evaluating a Melody Extraction Engine.
16598 0 86565	Intelligent GP fusion from multiple sources for text classification.
15293 0 10408	Organizing and Searching the World Wide Web of Facts - Step One: The One-Million Fact Extraction Challenge.
17822 0 275248	Generalized Version Control in an Object-Oriented Database.
25755 0 554230	The Practitioner's Viewpoint.
6351 1 76912	Yi-Leh Wu
13730 1 422215	M. Nemeth
37766 3 13536	peculiar
29642 3 833	analytical
4014 1 26629	Atsushi Fujii
12490 1 326937	Thomas W. Page Jr.
7150 1 97606	Gurmeet Singh Manku
7652 1 113689	Chavdar Botev
7820 1 113946	Rayid Ghani
15841 0 11901	A General Framework for Generating Multivariate Explanations in Bayesian Networks.
20940 0 358268	A Statistical Study of Visual Resolution Thresholds.
2139 1 17460	Eugene Nudelman
3488 1 20407	Ravi Palla
20847 0 357998	A Fuzzy Modal Logic for Belief Functions.
27820 0 596649	A Study of Index Structures for Main Memory Database Management Systems.
1335 1 15870	Vu Le
27102 0 595447	Auditing Compliance with a Hippocratic Database.
9656 1 163146	Roman Schindlauer
33017 3 5014	aggregates
7170 1 98877	Julien Prados
33455 3 5951	webclassii
32016 3 3616	mechanization
33900 3 6650	anything
26353 0 555345	CS cache engine: data access accelerator for location-based service in mobile environments.
29521 3 696	rfa
27997 0 596967	Random Sampling from B+ Trees.
14511 0 7730	Tool Use for Autonomous Agents.
2803 1 18926	Shankar A. Rajamoney
29248 3 410	expertise
18458 0 276532	An Approximation Algorithm for the Physical Access Path Selection in the CODASYL Environment.
35336 3 9201	pathway
2904 1 19151	Richard F. E. Sutcliffe
24359 0 550738	Simplified similarity scoring using term ranks.
34761 3 8055	weakest
31623 3 3103	but
7524 1 113236	Mingsheng Hong
15834 0 11889	Improving Learning in Networked Data by Combining Explicit and Mined Links.
30852 3 2191	integrity
12040 1 297804	Arya Irani
29161 3 312	resource
17583 0 162823	Non-contiguous Sequence Pattern Queries.
1841 1 16850	Wolfgang Nejdl
6791 1 85873	Hong Hai Do
6865 1 86262	Peter Zabback
32100 3 3734	loops
8730 1 130064	Mariano Cilia
35718 3 9758	postponed
1661 1 16510	David K. Hofer
21631 0 360064	Collaborative Web Search.
26799 0 556179	Mining long sequential patterns in a noisy environment.
28582 0 626017	Extrapolation methods for accelerating PageRank computations.
32176 3 3848	extent
6565 1 79172	Woochang Hwang
29733 3 926	pages
10627 1 214787	Jilin Chen
3988 1 26410	Nigel Collier
27612 0 596264	ROX: Relational Over XML.
4284 1 29505	Der-Shung Yang
20839 0 357977	A General Backtrack Algorithm That Eliminates Most Redundant Tests.
9875 1 171204	Eduard Hoenkamp
36185 3 10700	iota
36931 3 11876	sequoia
3944 1 26140	Nicholas J. Belkin
17165 0 157047	High Quality Expertise Evidence for Expert Search.
24897 0 551584	A Design of a Distributed Full Text Retrieval System.
10675 1 224840	Paul E. Stolorz
24982 0 551718	Document clustering with committees.
5317 1 45397	Ten-Hwang Lai
35419 3 9336	tetrad
28887 3 17	robot
31795 3 3325	convergence
21019 0 358462	Searching to Variable Depth in Computer Chess.
22135 0 435946	ADtrees for Fast Counting and for Fast Learning of Association Rules.
36651 3 11391	mystiq
26124 0 554916	Event Specification in an Active Object-Oriented Database.
939 1 15197	Mary Berna
180 1 3628	Carl Gutwin
2420 1 18083	Yew Jin Lim
15736 0 11685	Disambiguating Noun Compounds.
34340 3 7344	procrustes
33930 3 6689	dbgraph
25332 0 552286	Mining translations of OOV terms from the web through cross-lingual query expansion.
31471 3 2911	prospector
10268 1 177026	Jidong Wang
21690 0 360209	Probabilistic Classification and Clustering in Relational Data.
32786 3 4714	kronecker
581 1 10737	Jean-Claude Latombe
24516 0 550982	Probabilistic Retrieval Based on Staged Logistic Regression.
36779 3 11599	backwater
22852 0 437309	Practical guide to controlled experiments on the web: listen to your customers not to the hippo.
30963 3 2316	mobility
8505 1 121254	Sambuddha Roy
26748 0 556086	Gaia: An Object-Oriented Framework for an Ada Environment (Extended Abstract).
32988 3 4978	versioning
3654 1 20712	George Konidaris
14628 0 8129	Is Intractability of Non-Monotonic Reasoning a Real Drawback?
4192 1 27979	Fabrizio Sebastiani
14470 1 453706	Yu-Jing Wang
6278 1 74927	Alan Dearle
7808 1 113921	Dmitriy Fradkin
618 1 11242	B. Prabhakaran
19080 0 277831	Ontology-Aware Search on XML-based Electronic Medical Records.
10394 1 187407	Muthuramakrishnan Venkitasubramaniam
10767 1 236531	Baolong Liu
2607 1 18447	Kenneth Moorman
27134 0 595507	IO-Top-k: Index-access Optimized Top-k Query Processing.
5913 1 60391	Wei-Pang Yang
11584 1 261649	Chih Lai
12951 1 387941	Alan Downing
13241 1 421036	Meredith Frost
21879 0 360706	Semi-Supervised Regression with Co-Training.
9303 1 152483	Claudio Gennaro
11296 1 261005	Andrew Yu
18575 0 276796	Approximate Queries and Representations for Large Data Sequences.
11687 1 261835	Arpit Mathur
22622 0 436913	After the gold rush (invited talk, abstract only): data mining in the new economy (invited talk, abstract only).
31200 3 2586	generator
33461 3 5965	summarisation
30116 3 1335	definitions
2327 1 17839	Martin Cooperson Jr.
3904 1 24617	Christophe G. Giraud-Carrier
26187 0 555024	Rule Condition Testing and Action Execution in Ariel.
9191 1 149260	Kyuchul Lee
33887 3 6634	lexequal
31468 3 2908	contributed
28261 0 597440	Multi-Level Structures of the DBTG Data Model for an Achievement of Physical Data Independence.
365 1 6525	Eduardo B. Fern��ndez
34953 3 8450	mcs
23384 0 500571	A Fuzzy Beam-Search Rule Induction Algorithm.
16835 0 116537	Mixtures of Local Linear Subspaces for Face Recognition.
26918 0 556342	Pay-as-you-go user feedback for dataspace systems.
9546 1 158072	Nikolaos Nanas
37085 3 12112	infological
11553 1 261581	Stefano Trisolini
33547 3 6079	decentralised
32910 3 4876	analyze
7941 1 114158	Spencer Thomas
19341 0 278340	Mining Optimal Actions for Profitable CRM.
1911 1 16989	Michael Frank
35478 3 9423	semcog
25488 0 552494	Information retrieval on bug locations by learning co-located bug report clusters.
29539 3 718	mediation
30118 3 1337	global
3136 1 19705	Stefan Wermter
22616 0 436901	MONIC: modeling and monitoring cluster transitions.
10349 1 182208	Evangelos Zirintsis
19540 0 278681	Finding "Who Is Talking to Whom" in VoIP Networks via Progressive Stream Clustering.
3718 1 20853	John Thangarajah
33137 3 5218	reflections
16976 0 118521	Groupwise Shape Registration on Raw Edge Sequence via A Spatio-Temporal Generative Model.
5752 1 54359	Kevin S. McCurley
36018 3 10391	transformers
29990 3 1201	specific
9414 1 154894	Lipyeow Lim
31157 3 2537	generated
28147 0 597243	Transaction Support in Read Optimizied and Write Optimized File Systems.
30247 3 1478	mpe
17197 0 157102	Towards an Automatically Generated Music Information System Via Web Content Mining.
9670 1 163558	Nicolas Werro
15658 0 11513	Epsilon-Transformation: Exploiting Phase Transitions to Solve Combinatorial Optimization Problems Initial Results.
18215 0 276014	Asynchronous Version Advancement in a Distributed Three-Version Database.
22779 0 437166	XRules: an effective structural classifier for XML data.
10024 1 173418	Kai Puolam?ki
22473 0 436628	Multi-level organization and summarization of the discovered rules.
12089 1 305348	Paul Chitson
12743 1 366453	John Komoroske
6877 1 86328	Rudolf Munz
15780 0 11773	Evolutionary and Lifetime Learning in Varying NK Fitness Landscape Changing Environments: An Analysis of Both Fitness and Diversity.
13053 1 391586	F. J. Smith
37044 3 12043	cascadia
24478 0 550929	Translating unknown queries with web corpora for cross-language information retrieval.
28112 0 597164	Multidatabase Applications: Semantic and System Issues.
18915 0 277476	Making Applications Persistent at Run-time.
36160 3 10658	tijah
683 1 12317	Yong Yu
8952 1 139028	Yves B��rub�� Lauzi��re
17905 0 275401	Generalized Pictorial Data Management.
23043 0 486802	Mining of Web-Page Visiting Patterns with Continuous-Time Markov Models.
2480 1 18197	Christopher Riesbeck
20459 0 357047	A Non-monotonic Logic for Specifying and Querying Preferences.
6087 1 68926	Armando Fox
33204 3 5371	samples
28441 0 597725	Performance Evaluation and Experimental Assessment - Conscience or Curse of Database Research?
8163 1 114481	Navendu Garg
10605 1 211251	Mohammad R. Kolahdouzan
33759 3 6431	iceberg
17680 0 163017	Temporal Aggregation over Data Streams Using Multiple Granularities.
19275 0 278228	Improving Home Automation by Discovering Regularly Occurring Device Usage Patterns.
17735 0 275062	Adaptive Caching for Continuous Queries.
9735 1 164497	Chih-Chen Lin
4102 1 27183	Jian-Yun Nie
23766 0 504036	Notions of Dependency Satisfaction.
26539 0 555682	Optimal multi-scale patterns in time series streams.
11118 1 260594	Mauricio A. Hern��ndez
30021 3 1236	regret
14863 0 8891	A Metalinguistic Approach to the Construction of Knowledge Base Refinement Systems.
10560 1 205246	Yafei Dai
6503 1 78284	Nan C. Shu
21526 0 359805	One System for Simulation of Pattern Recognition Algorithms.
16936 0 118019	Using Three-Dimensional Features to Improve Terrain Classification.
11562 1 261599	Thomas George
26338 0 555311	Fast-Start: Quick Fault Recovery in Oracle.
20226 0 309707	Automatic discovery and transfer of MAXQ hierarchies.
13404 1 421268	E. Michael Keen
16461 0 86338	Scalable summary based retrieval in P2P networks.
27157 0 595543	Comprehensive Approach to the Design of Relational Database Schemes.
5160 1 41727	Adenike M. Lam-Adesina
3609 1 20624	Nicola Leone
11432 1 261318	Riku Saikkonen
11602 1 261681	Susan Paulsen
15079 0 9706	Loop Formulas for Circumscription.
11725 1 262005	Hanhuai Shan
13858 1 422475	Dirk Lehmann
6745 1 84682	Ulrich Kreher
9919 1 171324	Farhad Oroumchian
348 1 5992	Jing Zhang
17476 0 162593	Efficient Query Evaluation over Compressed XML Data.
4602 1 34255	Andrew C. Jones
870 1 14056	Les Miller
15279 0 10343	Robot Navigation in Unknown Terrains of Convex Polygonal Obstacles Using Learned Visibility Graphs.
35054 3 8650	payment
14694 0 8351	Merging Argumentation Systems.
15236 0 10182	Towards Explicit Integration of Knowledge in Expert Systems: An Analysis of MYCIN's Therapy Selection Algorithm.
1970 1 17106	Douglas B. Lenat
8050 1 114331	Yves Rasolofo
4906 1 36518	G��rard D. Guiho
6881 1 86352	Srikanta J. Bedathur
7067 1 94908	Toby J. Teorey
323 1 5282	Juan E. Gilbert
25404 0 552382	Ranking with multiple hyperplanes.
14480 0 7613	Using an Annotated Language Corpus as a Virtual Stochastic Grammar.
662 1 11984	Roland H. C. Yap
22955 0 486621	Discovering Case Knowledge Using Data Mining.
34894 3 8308	interlocking
24234 0 536518	Load Shedding in Classifying Multi-Source Streaming Data: A Bayes Risk Approach.
6018 1 62782	Richard R. Muntz
12475 1 323188	Wei-hsing Wang
31 1 705	Makoto Kimura
3700 1 20826	Brian Milch
15274 0 10334	Data-Driven MCMC for Learning and Inference in Switching Linear Dynamic Systems.
30939 3 2290	foreign
35888 3 10158	dependences
1206 1 15651	Harry G. Barrow
4384 1 31932	David S. Munro
3254 1 19974	Karsten M. Borgwardt
5885 1 59300	Robert Kleinberg
36326 3 10892	dilight
3713 1 20844	Razvan Voicu
19621 0 278963	Mining Statistical Information of Frequent Fault-Tolerant Patterns in Transactional Databases.
13663 1 422124	L. Maugis
21768 0 360408	Efficiency and Equilibrium in Task Allocation Economies with Hierarchical Dependencies.
27695 0 596411	BATON: A Balanced Tree Structure for Peer-to-Peer Networks.
30023 3 1238	minimal
5103 1 39948	Diego C. Mart��nez
24976 0 551706	The Function of Semantics in Automated Language Processing.
7431 1 111071	Nadir Weibel
368 1 6613	Xin Xu
11502 1 261447	Kou-Horng Yang
3235 1 19937	Gilad Zlotkin
10156 1 175602	Haris Georgiadis
15807 0 11835	A Semantic Importing Approach to Knowledge Reuse from Multiple Ontologies.
20883 0 358105	Learning Strategies for Open-Domain Natural Language Question Answering.
14772 0 8617	HTN Planning: Complexity and Expressivity.
20148 0 309506	Enhancing the Plausibility of Law Equation Discovery.
1584 1 16371	William P. Birmingham
28401 0 597667	Improving Data Quality: Consistency and Accuracy.
6983 1 90616	Andrea Cal��
2718 1 18760	Dekang Lin
9950 1 171390	Ram Akella
9490 1 156680	Alvaro Barreiro
37148 3 12215	imemex
1356 1 15909	Minh Binh Do
19964 0 308928	Comparing Methods for Refining Certainty-Factor Rule-Bases.
9982 1 173251	Tim Niblett
27837 0 596675	Issues and Evaluations of Caching Solutions for Web Application Acceleration.
4398 1 32143	Ying Zhao
29593 3 778	linguistics
9148 1 148983	Shen-Tat Goh
34036 3 6846	locks
10503 1 198206	Dror Weitz
31506 3 2952	texas
4218 1 28305	Vijay Kumar
16328 0 86091	On semantic matching of multilingual attributes in relational systems.
19507 0 278628	Efficient Text Classification by Weighted Proximal SVM.
36649 3 11389	vgm
4974 1 37938	Ian Soboroff
35294 3 9134	collapsed
17835 0 275267	Every Click You Make, IWill Be Fetching It: Efficient XML Query Processing in RDMS Using GUI-driven Prefetching.
16329 0 86092	Biasing web search results for topic familiarity.
26871 0 556278	Distributed query evaluation with performance guarantees.
32127 3 3775	direction
12081 1 304635	Malcolm Crowe
24614 0 551123	Information Processing in the Context of Medical Care.
17435 0 162514	Views and Security in Distributed Database Management Systems.
32994 3 4987	broadcasts
24217 0 536486	Feature Selection with the logRatio Kernel.
12734 1 366430	Huw Roberts
9938 1 171360	Peter-Arno Coppen
27162 0 595552	Automatic Data Fusion with HumMer.
14475 0 7601	Some Philosophical Problems with Formal Learning Theory.
11289 1 260996	David J. Martin
28764 0 627034	Reliable QoS monitoring based on client feedback.
11390 1 261218	William Schroeder
31828 3 3374	mined
2784 1 18892	Jean-Francois Puget
25365 0 552324	Fast exact maximum likelihood estimation for mixture of language models.
21948 0 360829	The Value of Observation for Monitoring Dynamic Systems.
29270 3 435	mechanism
1520 1 16271	Kenneth D. Forbus
17117 0 156954	Broadcast News Gisting Using Lexical Cohesion Analysis.
12988 1 391125	Colin L. Carter
3106 1 19635	Jon A. Webb
7311 1 105796	Sanjay E. Sarma
12003 1 287925	R. Ananthanarayanan
20079 0 309310	Incremental Learning in SwiftFile.
21335 0 359320	AI Planning Versus Manufacturing-Operation Planning: A Case Study.
22257 0 436186	LIPED: HMM-based life profiles for adaptive event detection.
35002 3 8545	philosophy
552 1 10210	Qiancheng Jiang
35094 3 8739	potts
32873 3 4825	required
37667 3 13365	colr
20137 0 309483	Accelerated training of conditional random fields with stochastic gradient methods.
18419 0 276449	Towards More Flexible Schema Management in Object Bases.
15527 0 11093	Prob-Maxn: Playing N-Player Games with Opponent Models.
15542 0 11130	A Theory of Unsupervised Speedup Learning.
2249 1 17690	Sylvie Thi��baux
13337 1 421163	Leo Egghe
9063 1 140582	Qingping Tao
34680 3 7914	muvis
12385 1 316902	Sara Jordan
5926 1 61002	DucDung Nguyen
22129 0 361203	An Extension to Conformant Planning Using Logic Programming.
6070 1 66438	Min Xie
29761 3 957	ternary
36926 3 11864	paradise
20504 0 357138	Lifted First-Order Probabilistic Inference.
24683 0 551243	Overview of the First Text REtrieval Conference.
28866 2 3318	SIGIR
8105 1 114406	Aixin Sun
27172 0 595570	ULDBs: Databases with Uncertainty and Lineage.
1700 1 16578	Stefan Edelkamp
8798 1 132007	Janis A. Bubenko Jr.
22120 0 361185	State Similarity Based Approach for Improving Performance in RL.
37784 3 13562	relatively
2134 1 17452	Nathanael Hyafil
36236 3 10762	translingual
31221 3 2611	transforming
8517 1 122069	Ping Xu
17936 0 275451	Data Mining: Where is it Heading? (Panel).
13458 1 421339	Gregory Rae
28906 3 38	based
32845 3 4789	credulous
15709 0 11642	A Framework for Modeling Influence, Opinions and Structure in Social Media.
32355 3 4087	disco
17449 0 162541	Mining Process Models from Workflow Logs.
2224 1 17613	Micheline Kamber
21428 0 359569	A Simple Method for Recovering a Relative Depth Map in the Case of a Translating Sensor.
32604 3 4440	cease
13122 1 398648	Andrew Witkowski
24967 0 551690	Using sampled data and regression to merge search engine results.
31776 3 3298	coalitions
8186 1 114521	Michael Steinbach
17309 0 158921	Adapting to Drift in Continuous Domains (Extended Abstract).
26493 0 555598	Issues and Approaches for Migration/Cohabitation between Legacy and new Systems.
1319 1 15842	Y. Silver
12678 1 366324	Jonathan Stoppi
6131 1 69459	Cristiana Amza
37686 3 13389	ks
2623 1 18495	Nicola Muscettola
22407 0 436496	Optimization of Collection Efforts in Automobile Financing - a KDD Supported Environment.
6781 1 85853	Dirk Van Gucht
5495 1 49656	Claude Kirchner
5838 1 56605	Jun Luo
25923 0 554521	A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries.
6269 1 74605	Mark Hall
27831 0 596669	QoS-based Data Access and Placement for Federated Information Systems.
37780 3 13556	cocktail
31758 3 3277	formulating
13055 1 394419	Jia-bing R. Cheng
19470 0 278575	IRC: An Iterative Reinforcement Categorization Algorithm for Interrelated Web Objects.
9483 1 156563	Richard D. Lawrence
28455 0 597745	Tracing Lineage Beyond Relational Operators.
1531 1 16296	Michael van Lent
4444 1 33554	Ravi Krishnamurthy
28844 0 654259	Can social bookmarking improve web search?
8503 1 121235	Sameet Agarwal
21097 0 358718	Modeling the Basic Meanings of Path Relations.
37665 3 13363	hammer
2694 1 18692	Aomar Osmani
3030 1 19433	Peter Struss
8077 1 114372	Sudhir Verma
19238 0 278159	Using Rule Sets to Maximize ROC Performance.
32158 3 3816	integrate
11901 1 282990	Khashayar Rohanimanesh
33015 3 5012	schemacentric
35042 3 8631	fopho
36621 3 11347	streamon
3145 1 19736	David Williams
14924 0 9088	Tractable Theories of Multiple Defeasible Inheritance in Ordinary Nonmonotonic Logics.
24047 0 536191	Privacy-Preserving Multivariate Statistical Analysis: Linear Regression and Classification.
33353 3 5731	fringe
2246 1 17680	Roni Khardon
10482 1 196956	Xiangshang Li
18279 0 276141	Performance Evaluation of Functional Disk System (FDS-R2).
37282 3 12461	microbial
35833 3 10028	periodicities
7855 1 114019	Ning Jing
10306 1 180654	Kuiyu Chang
14920 0 9080	Mega-Classification: Discovering Motifs in Massive Datastreams.
21374 0 359426	Partitioning Activities for Agents.
20752 0 357765	UPML: A Framework for Knowledge System Reuse.
10485 1 197022	Manu Sharma
25029 0 551793	A Common Query Interface for Multilingual Document Retrieval from Databases of the European Community Institutions (Demo).
27521 0 596122	Cache-conscious Frequent Pattern Mining on a Modern Processor.
15758 0 11735	Turning Lectures into Comic Books Using Linguistically Salient Gestures.
18300 0 276185	A Propagation Mechanism for Populated Schema Versions.
28928 3 61	problem
36317 3 10883	decompressing
8219 1 114580	Kevin J. Lang
17492 0 162628	A Foundation for Evolution from Relational to Object Databases.
10955 1 260287	S. C. Hwung
37429 3 12736	hisbase
29094 3 238	study
5340 1 46412	Feng Zhu
3338 1 20127	Li-Jia Li
5990 1 61906	MingCai Hong
35325 3 9183	root
5883 1 59275	Sumit Ganguly
30700 3 1998	device
25671 0 554083	A Territorial Database Management System (Abstract).
26625 0 555864	Differential Files: Their Application to the Maintenance of Large Data Bases (Abstract).
7832 1 113973	Jinfeng Ni
26323 0 555279	Using Sets of Feature Vectors for Similarity Search on Voxelized CAD Objects.
1786 1 16740	Erin Shaw
15456 0 10873	Representing Genetic Information with Formal Grammars.
10729 1 231146	Gordon J. Ferguson
22904 0 437395	Weighted graphs and disconnected components: patterns and a generator.
3727 1 20868	Thanh Tran
6441 1 78012	Sa?da Medjdoub
9484 1 156591	Takeshi Kurashima
10659 1 221815	Barbara H. Kwasnik
11320 1 261095	Yue Zhuge
8035 1 114303	Helen Pinto
10924 1 260227	Mirette S. Marzouk
9469 1 156436	Leong Hou U
11819 1 281067	Dihua Guo
34073 3 6897	column
5010 1 38762	Jean-Marc Andreoli
10331 1 181312	Ming Luo
12853 1 366634	Kin Ung
14442 1 453589	Arvind Jain
36447 3 11098	absorbing
11523 1 261518	Thanh Tran 0002
5948 1 61406	Fengshan Bai
13808 1 422357	Tiffany Dohzen
28362 0 597611	Improving Database Performance on Simultaneous Multithreading Processors.
573 1 10640	Yu Sun
24794 0 551433	UTACLIR -: general query translation framework for several language pairs.
21080 0 358632	A Computational Model for Causal and Diagnostic Reasoning in Inference Systems.
4701 1 34672	Noureddine Mouaddib
24652 0 551191	Queries-R-Links: Browsing and Retrieval via Interactive Querying (Demo).
28949 3 82	an
10372 1 184440	Anno Langen
35169 3 8884	explanationbased
9222 1 149435	Lijun Chen
28567 0 625919	Description logic programs: combining logic programs with description logic.
25631 0 552686	Refining search results with facet landscapes.
5827 1 56212	Jun Rekimoto
24667 0 551225	Jester 2.0: Evaluation of an New Linear Time Collaborative Filtering Algorithm (poster abstract).
29796 3 993	consistent
31253 3 2651	termsets
34569 3 7737	criminal
32727 3 4629	capture
7097 1 95157	Young-Gook Ra
11158 1 260691	Vinayak R. Borkar
7623 1 113653	Eugene Agichtein
28414 0 597685	Main-Memory Operation Buffering for Efficient R-Tree Update.
32270 3 3975	flakey
5946 1 61375	Adam Jatowt
10446 1 195064	Tohru Moto-Oka
37500 3 12994	overloads
26500 0 555615	Flexible Buffer Allocation Based on Marginal Gains.
37265 3 12430	proquel
3519 1 20471	Praveen Paruchuri
18111 0 275820	CORBA Notification Service: Design Challenges and Scalable Solutions.
22211 0 436109	Out-of-core frequent pattern mining on a commodity PC.
33023 3 5023	review
30172 3 1396	eliciting
27661 0 596365	1-Safe Algorithms for Symmetric Site Configurations.
4846 1 35868	Jie Han
5595 1 50782	Katharina Morik
10783 1 237413	Yejun Wu
30535 3 1809	negotiation
31926 3 3502	presence
42 1 798	Steven Feiner
8443 1 117321	Yasushi Ogawa
15225 0 10148	Constraint Equations: A Concise Compilable Representation for Quantified Constraints in Semantic Networks.
15499 0 11000	A Logical-Form and Knowledge-Base Design for Natural Language Generation.
15747 0 11710	Revenue Monotonicity in Combinatorial Auctions.
23931 0 504362	Integrating Information by Outerjoins and Full Disjunctions.
11293 1 261002	Ila Miller
20425 0 356932	Towards a Possibilistic Logic Handling of Preferences.
27221 0 595642	Object and File Management in the EXODUS Extensible Database System.
28968 3 104	prepositions
3723 1 20861	Evan Wei Xiang
33542 3 6070	friedman
8400 1 116870	Xiang Sean Zhou
11882 1 282921	Ya Xue
11628 1 261729	Shi-Ming Zhang
31648 3 3137	colin
30273 3 1504	algebraic
24957 0 551674	Introduction and Perspectives for the 1971 ACM Information Storage and Retrieval Symposium.
28188 0 597304	Scalable Techniques for Mining Causal Structures.
2154 1 17484	Makoto Iwayama
2586 1 18383	Krishnan Subramanian
18403 0 276403	Object Queries over Relational Databases: Language, Implementation, and Applications.
9677 1 163707	Chunyi Shi
30649 3 1934	conservative
6635 1 83047	Christian Drumm
23215 0 487236	Data Mining Based on the Generalization Distribution Table and Rough Sets.
19672 0 279044	High-Speed Function Approximation.
26310 0 555253	Atomic Garbage Collection: Managing a Stable Heap.
27352 0 595853	Dynamic Update Cube for Range-sum Queries.
29707 3 900	swoogle
37051 3 12057	xquec
